"game_date","time","home_team","away_team","spread","over_vig","under_vig"
2022-12-15,"00:10:00Z","Charlotte Hornets","Detroit Pistons",-2.5,1.9,1.9
2022-12-15,"00:10:00Z","Indiana Pacers","Golden State Warriors",-1.5,1.9,1.9
2022-12-15,"00:40:00Z","Chicago Bulls","New York Knicks",-4,1.9,1.9
2022-12-15,"00:40:00Z","Toronto Raptors","Sacramento Kings",5,1.9,1.9
2022-12-15,"01:10:00Z","Oklahoma City Thunder","Miami Heat",-3,1.9,1.9
2022-12-15,"01:10:00Z","San Antonio Spurs","Portland Trail Blazers",-6.5,1.85,1.95
2022-12-15,"02:10:00Z","Dallas Mavericks","Cleveland Cavaliers",2.5,1.9,1.9
2022-12-15,"02:10:00Z","Denver Nuggets","Washington Wizards",NA,NA,NA
2022-12-15,"03:10:00Z","Los Angeles Clippers","Minnesota Timberwolves",-6.5,1.95,1.85
2022-12-16,"01:10:00Z","Houston Rockets","Miami Heat",3,1.95,1.85
2022-12-16,"01:10:00Z","Memphis Grizzlies","Milwaukee Bucks",-1.5,1.9,1.9
2022-12-16,"02:10:00Z","Utah Jazz","New Orleans Pelicans",-2,1.9,1.9
2022-12-16,"03:40:00Z","Los Angeles Clippers","Phoenix Suns",-2,1.9,1.9
2022-12-17,"00:10:00Z","Charlotte Hornets","Atlanta Hawks",2,1.9,1.9
2022-12-17,"00:10:00Z","Detroit Pistons","Sacramento Kings",5,1.9,1.9
2022-12-17,"00:40:00Z","Boston Celtics","Orlando Magic",-13.5,1.95,1.85
2022-12-17,"00:40:00Z","Toronto Raptors","Brooklyn Nets",-1.5,1.9,1.9
2022-12-17,"00:40:00Z","Cleveland Cavaliers","Indiana Pacers",-8,1.9,1.9
2022-12-17,"00:40:00Z","Philadelphia 76ers","Golden State Warriors",9,1.9,1.9
2022-12-17,"01:10:00Z","Chicago Bulls","New York Knicks",-2.5,1.9,1.9
2022-12-17,"01:10:00Z","Oklahoma City Thunder","Minnesota Timberwolves",2,1.9,1.9
2022-12-17,"01:40:00Z","Dallas Mavericks","Portland Trail Blazers",-4.5,1.95,1.85
2022-12-17,"03:10:00Z","Los Angeles Lakers","Denver Nuggets",-1.5,1.95,1.85
2022-12-17,"21:10:00Z","Los Angeles Clippers","Washington Wizards",-6.5,1.9,1.9
2022-12-17,"22:10:00Z","San Antonio Spurs","Miami Heat",-7.5,1.9,1.9
2022-12-18,"01:10:00Z","Cleveland Cavaliers","Dallas Mavericks",-4.5,1.9,1.9
2022-12-18,"01:10:00Z","Houston Rockets","Portland Trail Blazers",3.5,1.9,1.9
2022-12-18,"01:10:00Z","Oklahoma City Thunder","Memphis Grizzlies",-7.5,1.9,1.9
2022-12-18,"01:10:00Z","Milwaukee Bucks","Utah Jazz",-4.5,1.85,1.95
2022-12-18,"02:10:00Z","Phoenix Suns","New Orleans Pelicans",3.5,1.9,1.9
2022-12-18,"20:10:00Z","Boston Celtics","Orlando Magic",-10,1.9,1.9
2022-12-18,"22:10:00Z","Indiana Pacers","New York Knicks",-1.5,1.95,1.85
2022-12-18,"23:10:00Z","Detroit Pistons","Brooklyn Nets",-7,1.85,1.95
2022-12-18,"23:10:00Z","Toronto Raptors","Golden State Warriors",6,1.9,1.9
2022-12-19,"00:10:00Z","Minnesota Timberwolves","Chicago Bulls",-1.5,1.9,1.9
2022-12-19,"01:10:00Z","Denver Nuggets","Charlotte Hornets",8,1.9,1.9
2022-12-19,"02:40:00Z","Los Angeles Lakers","Washington Wizards",-4.5,1.9,1.9
2022-12-20,"00:00:00Z","Cleveland Cavaliers","Utah Jazz",-6,1.9,1.9
2022-12-20,"00:10:00Z","Philadelphia 76ers","Toronto Raptors",-7,1.9,1.9
2022-12-20,"00:40:00Z","Atlanta Hawks","Orlando Magic",-7.5,1.9,1.9
2022-12-20,"01:00:00Z","Houston Rockets","San Antonio Spurs",-4,1.9,1.9
2022-12-20,"01:10:00Z","Minnesota Timberwolves","Dallas Mavericks",-3.5,1.9,1.9
2022-12-20,"01:10:00Z","New Orleans Pelicans","Milwaukee Bucks",-1.5,1.9,1.9
2022-12-20,"01:10:00Z","Oklahoma City Thunder","Portland Trail Blazers",8,1.9,1.9
2022-12-20,"02:00:00Z","Phoenix Suns","Los Angeles Lakers",8.5,1.9,1.9
2022-12-20,"03:10:00Z","Sacramento Kings","Charlotte Hornets",8.5,1.9,1.9
2022-12-21,"00:10:00Z","Detroit Pistons","Utah Jazz",3.5,1.9,1.9
2022-12-21,"00:30:00Z","New York Knicks","Golden State Warriors",4.5,1.9,1.9
2022-12-21,"00:40:00Z","Miami Heat","Chicago Bulls",5,1.9,1.9
2022-12-21,"02:10:00Z","Phoenix Suns","Washington Wizards",-7.5,1.9,1.9
2022-12-21,"03:10:00Z","Denver Nuggets","Memphis Grizzlies",1.5,1.9,1.9
2022-12-25,"17:00:00Z","New York Knicks","Philadelphia 76ers",NA,NA,NA
2022-12-25,"22:00:00Z","Boston Celtics","Milwaukee Bucks",NA,NA,NA
2022-12-26,"03:30:00Z","Denver Nuggets","Phoenix Suns",NA,NA,NA
2022-12-22,"00:10:00Z","Cleveland Cavaliers","Milwaukee Bucks",-2,1.9,1.9
2022-12-22,"00:10:00Z","Philadelphia 76ers","Detroit Pistons",11,1.95,1.85
2022-12-22,"00:40:00Z","Atlanta Hawks","Chicago Bulls",-6.5,1.9,1.9
2022-12-22,"00:40:00Z","Boston Celtics","Indiana Pacers",-9.5,1.85,1.95
2022-12-22,"00:40:00Z","Brooklyn Nets","Golden State Warriors",-11.5,1.9,1.9
2022-12-22,"00:40:00Z","New York Knicks","Toronto Raptors",-1.5,1.95,1.85
2022-12-22,"01:10:00Z","Minnesota Timberwolves","Dallas Mavericks",-3.5,1.9,1.9
2022-12-22,"01:10:00Z","Houston Rockets","Orlando Magic",1.5,1.9,1.9
2022-12-22,"01:10:00Z","Oklahoma City Thunder","Portland Trail Blazers",4,1.9,1.9
2022-12-22,"03:10:00Z","Sacramento Kings","Los Angeles Lakers",6,1.9,1.9
2022-12-22,"03:40:00Z","Los Angeles Clippers","Charlotte Hornets",7,1.9,1.9
2022-12-25,"17:00:00Z","New York Knicks","Philadelphia 76ers",NA,NA,NA
2022-12-25,"22:00:00Z","Boston Celtics","Milwaukee Bucks",NA,NA,NA
2022-12-26,"03:30:00Z","Denver Nuggets","Phoenix Suns",NA,NA,NA
2022-12-23,"01:10:00Z","New Orleans Pelicans","San Antonio Spurs",-8,1.9,1.9
2022-12-23,"02:10:00Z","Utah Jazz","Washington Wizards",-6.5,1.9,1.9
2022-12-25,"17:00:00Z","New York Knicks","Philadelphia 76ers",2,1.9,1.9
2022-12-25,"19:30:00Z","Dallas Mavericks","Los Angeles Lakers",-7,1.9,1.9
2022-12-25,"22:00:00Z","Boston Celtics","Milwaukee Bucks",-4,1.85,1.95
2022-12-26,"01:10:00Z","Golden State Warriors","Memphis Grizzlies",NA,NA,NA
2022-12-26,"03:30:00Z","Denver Nuggets","Phoenix Suns",-2.5,1.95,1.85
2022-12-24,"00:10:00Z","Philadelphia 76ers","Los Angeles Clippers",3.5,1.9,1.9
2022-12-24,"00:10:00Z","Orlando Magic","San Antonio Spurs",-7,1.95,1.85
2022-12-24,"00:40:00Z","Atlanta Hawks","Detroit Pistons",-9,1.95,1.85
2022-12-24,"00:40:00Z","Boston Celtics","Minnesota Timberwolves",-9,1.9,1.9
2022-12-24,"00:40:00Z","Brooklyn Nets","Milwaukee Bucks",-2.5,1.95,1.85
2022-12-24,"00:40:00Z","New York Knicks","Chicago Bulls",5.5,1.9,1.9
2022-12-24,"00:40:00Z","Cleveland Cavaliers","Toronto Raptors",-4.5,1.9,1.9
2022-12-24,"01:10:00Z","Houston Rockets","Dallas Mavericks",-6,1.9,1.9
2022-12-24,"01:10:00Z","Miami Heat","Indiana Pacers",6.5,1.9,1.9
2022-12-24,"01:10:00Z","Oklahoma City Thunder","New Orleans Pelicans",2,1.95,1.85
2022-12-24,"02:10:00Z","Denver Nuggets","Portland Trail Blazers",-5,1.9,1.9
2022-12-24,"03:10:00Z","Phoenix Suns","Memphis Grizzlies",-3,1.9,1.9
2022-12-24,"03:10:00Z","Sacramento Kings","Washington Wizards",-9,1.95,1.85
2022-12-24,"03:40:00Z","Los Angeles Lakers","Charlotte Hornets",3.5,1.85,1.95
2022-12-25,"17:00:00Z","New York Knicks","Philadelphia 76ers",2,1.85,1.95
2022-12-25,"19:30:00Z","Dallas Mavericks","Los Angeles Lakers",-7.5,1.9,1.9
2022-12-25,"22:00:00Z","Boston Celtics","Milwaukee Bucks",-4,1.9,1.9
2022-12-26,"01:10:00Z","Golden State Warriors","Memphis Grizzlies",NA,NA,NA
2022-12-26,"03:30:00Z","Denver Nuggets","Phoenix Suns",-2.5,1.9,1.9
2022-12-25,"17:00:00Z","New York Knicks","Philadelphia 76ers",1.5,1.9,1.9
2022-12-25,"19:30:00Z","Dallas Mavericks","Los Angeles Lakers",-8,1.9,1.9
2022-12-25,"22:00:00Z","Boston Celtics","Milwaukee Bucks",-4.5,1.85,1.95
2022-12-26,"01:10:00Z","Golden State Warriors","Memphis Grizzlies",5,1.9,1.9
2022-12-26,"03:30:00Z","Denver Nuggets","Phoenix Suns",-4,1.9,1.9
2022-12-25,"17:00:00Z","New York Knicks","Philadelphia 76ers",2.5,1.9,1.9
2022-12-25,"19:30:00Z","Dallas Mavericks","Los Angeles Lakers",-8,1.9,1.9
2022-12-25,"22:10:00Z","Boston Celtics","Milwaukee Bucks",-5,1.9,1.9
2022-12-26,"01:10:00Z","Golden State Warriors","Memphis Grizzlies",7,1.85,1.95
2022-12-26,"03:30:00Z","Denver Nuggets","Phoenix Suns",-3.5,1.9,1.9
2022-12-27,"00:10:00Z","Cleveland Cavaliers","Brooklyn Nets",2,1.9,1.9
2022-12-27,"00:10:00Z","Detroit Pistons","Los Angeles Clippers",5.5,1.9,1.9
2022-12-27,"00:40:00Z","Miami Heat","Minnesota Timberwolves",-4.5,1.9,1.9
2022-12-27,"01:10:00Z","Chicago Bulls","Houston Rockets",-8,1.9,1.9
2022-12-27,"01:10:00Z","New Orleans Pelicans","Indiana Pacers",6.5,1.9,1.9
2022-12-27,"01:10:00Z","San Antonio Spurs","Utah Jazz",5.5,1.85,1.95
2022-12-27,"03:10:00Z","Portland Trail Blazers","Charlotte Hornets",6.5,1.9,1.9
2022-12-28,"00:10:00Z","Orlando Magic","Los Angeles Lakers",4,1.9,1.9
2022-12-28,"00:10:00Z","Washington Wizards","Philadelphia 76ers",-4.5,1.85,1.95
2022-12-28,"00:40:00Z","Indiana Pacers","Atlanta Hawks",-1.5,1.9,1.9
2022-12-28,"00:40:00Z","Boston Celtics","Houston Rockets",-14.5,1.85,1.95
2022-12-28,"00:40:00Z","Toronto Raptors","Los Angeles Clippers",6,1.9,1.9
2022-12-28,"01:10:00Z","Memphis Grizzlies","Phoenix Suns",-7.5,1.9,1.9
2022-12-28,"01:10:00Z","Oklahoma City Thunder","San Antonio Spurs",-7,1.9,1.9
2022-12-28,"01:40:00Z","Dallas Mavericks","New York Knicks",-5.5,1.9,1.9
2022-12-28,"03:10:00Z","Golden State Warriors","Charlotte Hornets",4,1.9,1.9
2022-12-28,"03:10:00Z","Sacramento Kings","Denver Nuggets",-3.5,1.9,1.9
2022-12-29,"00:10:00Z","Detroit Pistons","Orlando Magic",1.5,1.9,1.9
2022-12-29,"00:10:00Z","Washington Wizards","Phoenix Suns",-1.5,1.9,1.9
2022-12-29,"00:30:00Z","Atlanta Hawks","Brooklyn Nets",5,1.9,1.9
2022-12-29,"00:40:00Z","Miami Heat","Los Angeles Lakers",7,1.9,1.9
2022-12-29,"01:10:00Z","Chicago Bulls","Milwaukee Bucks",4.5,1.9,1.9
2022-12-29,"01:10:00Z","New Orleans Pelicans","Minnesota Timberwolves",6.5,1.9,1.9
2022-12-29,"03:10:00Z","Sacramento Kings","Denver Nuggets",-2.5,1.9,1.9
2022-12-29,"03:10:00Z","Golden State Warriors","Utah Jazz",3,1.85,1.95
2022-12-30,"00:10:00Z","Charlotte Hornets","Oklahoma City Thunder",-1.5,1.95,1.85
2022-12-30,"00:10:00Z","Indiana Pacers","Cleveland Cavaliers",-5.5,1.9,1.9
2022-12-30,"00:40:00Z","Boston Celtics","Los Angeles Clippers",-6,1.9,1.9
2022-12-30,"00:40:00Z","Toronto Raptors","Memphis Grizzlies",-2.5,1.95,1.85
2022-12-30,"01:10:00Z","San Antonio Spurs","New York Knicks",-5,1.95,1.85
2022-12-30,"01:40:00Z","Dallas Mavericks","Houston Rockets",-11,1.95,1.85
2022-12-31,"00:10:00Z","Orlando Magic","Washington Wizards",NA,NA,NA
2022-12-31,"00:40:00Z","Atlanta Hawks","Los Angeles Lakers",-7,1.9,1.9
2022-12-31,"00:40:00Z","Toronto Raptors","Phoenix Suns",2.5,1.9,1.9
